Calendar Date,Date,Population_MI,Population_US,Rank,Highlights
01/01/1990 12:00:00 PM,"1,990","9,311,319","249,622,814",,
01/01/1991 12:00:00 PM,"1,991","9,400,446","252,980,941",,
01/01/1992 12:00:00 PM,"1,992","9,479,065","256,514,224",,
01/01/1993 12:00:00 PM,"1,993","9,540,114","259,918,588",,
01/01/1994 12:00:00 PM,"1,994","9,597,737","263,125,821",,
01/01/1995 12:00:00 PM,"1,995","9,676,211","266,278,393",,
01/01/1996 12:00:00 PM,"1,996","9,758,645","269,394,284",,
01/01/1997 12:00:00 PM,"1,997","9,809,051","272,646,925",,
01/01/1998 12:00:00 PM,"1,998","9,847,942","275,854,104",,
01/01/1999 12:00:00 PM,"1,999","9,897,116","279,040,168",,
01/01/2000 12:00:00 PM,"2,000","9,952,450","282,162,411",,
01/01/2001 12:00:00 PM,"2,001","9,991,120","284,968,955",,
01/01/2002 12:00:00 PM,"2,002","10,015,710","287,625,193",,
01/01/2003 12:00:00 PM,"2,003","10,041,152","290,107,933",,
01/01/2004 12:00:00 PM,"2,004","10,055,315","292,805,298",,
01/01/2005 12:00:00 PM,"2,005","10,051,137","295,516,599",,
01/01/2006 12:00:00 PM,"2,006","10,036,081","298,379,912",,
01/01/2007 12:00:00 PM,"2,007","10,001,284","301,231,207",,
01/01/2008 12:00:00 PM,"2,008","9,946,889","304,093,966",,
01/01/2009 12:00:00 PM,"2,009","9,901,591","306,771,529",,
01/01/2010 12:00:00 PM,"2,010","9,877,510","309,321,666",,
01/01/2011 12:00:00 PM,"2,011","9,882,412","311,556,874",,
01/01/2012 12:00:00 PM,"2,012","9,897,145","313,830,990",,
01/01/2013 12:00:00 PM,"2,013","9,913,065","315,993,715",,
01/01/2014 12:00:00 PM,"2,014","9,929,848","318,301,008",,
01/01/2015 12:00:00 PM,"2,015","9,931,715","320,635,163",10,
01/01/2016 12:00:00 PM,"2,016","9,950,571","322,941,311",10,
01/01/2017 12:00:00 PM,"2,017","9,973,114","324,985,539",10,Michigan's population grew in 2017 to 9.962 million.  Michigan's overall population ranked 10th nationally in 2017.
01/01/2018 12:00:00 PM,"2,018","9,984,072","326,687,501",10,Michigan's population grew in 2018 to 9.995 million.  Michigan's overall population ranked 10th nationally in 2018.
01/01/2019 12:00:00 PM,"2,019","9,986,857","328,239,523",10,Michigan's population grew in 2019 to 9.987 million.  Michigan's overall population ranked 10th nationally in 2019.
